target_id	length	eff_length	est_counts	tpm
cds-YP_081455.1	933	711.739	1	81.3167
cds-YP_081456.1	288	88.7538	0	0
cds-YP_081457.1	336	125.716	0	0
cds-YP_004940329.1	273	79.159	1	731.14
cds-YP_004940330.1	144	20.1818	1	2867.74
cds-YP_081458.1	513	292.445	12	2374.86
cds-YP_081459.1	705	483.822	117	13995.9
cds-YP_081460.1	1245	1023.74	0	0
cds-YP_081461.1	882	660.739	0	0
cds-YP_081462.1	657	435.822	0	0
cds-YP_081463.1	180	32.3519	3	5366.89
cds-YP_081464.1	450	230.986	1	250.562
cds-YP_081465.1	501	280.728	1014	209052
cds-YP_081466.1	843	621.739	14	1303.23
cds-YP_081468.2	585	363.883	5.08634e-05	0.00808992
cds-YP_081468.2_1	390	173.581	0	0
cds-YP_081467.1	669	447.822	5.99995	775.431
cds-YP_081469.1	702	480.822	2	240.739
cds-YP_081470.1	765	543.739	1	106.441
cds-YP_081471.1	819	597.739	25	2420.63
cds-YP_081472.1	1422	1200.74	53	2554.63
cds-YP_081473.1	984	762.739	10	758.796
cds-YP_081474.1	309	104.72	0	0
cds-YP_081475.1	693	471.822	27	3311.97
cds-YP_081476.1	315	109.189	27	14311.5
cds-YP_081477.1	1107	885.739	3	196.027
cds-YP_081478.1	297	95.6332	1	605.19
cds-YP_081479.1	1017	795.739	11	800.06
cds-YP_081480.1	372	157.244	12	4416.81
cds-YP_081481.1	86	24.5556	43	101349
cds-YP_081481.1_1	232	55.0916	48	50426.3
cds-YP_081482.1	855	633.739	8	730.601
cds-YP_081483.2	1077	855.739	25	1690.83
cds-YP_081484.1	1971	1749.74	50	1653.86
cds-YP_081485.1	567	345.883	8	1338.63
cds-YP_081486.1	1827	1605.74	22	792.955
cds-YP_081487.2	1076	854.739	17	1151.11
cds-YP_081487.2_1	1027	805.739	13	933.791
cds-YP_081489.1	366	151.737	9	3432.82
cds-YP_007947989.1	240	59.6152	4	3883.32
cds-YP_081490.1	1788	1566.74	52	1920.91
cds-YP_081491.1	3150	2928.74	41	810.222
cds-YP_081492.1	27	11	0	0
cds-YP_081492.1_1	1212	990.739	24	1402.02
cds-YP_081493.1	1224	1002.74	45	2597.32
cds-YP_081494.1	1926	1704.74	29	984.557
cds-YP_081495.1	202	41.9262	1	1380.43
cds-YP_081495.1_1	1229	1007.74	38	2182.41
cds-YP_081496.1	488	268.176	7	1510.7
cds-YP_081496.1_1	43	16	0	0
